Date,"BTC price, USD","ETH price, USD","BTC profit, USD per day for TH","ETH profit, USD per day for TH"
2011-11-08,3.021,,2708,
2011-11-09,3.011,,2544,
2011-11-10,2.909,,2204,
2011-11-11,2.96,,2303,
2011-11-12,3.049,,2779,
2011-11-13,3.014,,2495,
2011-11-14,2.608,,2198,
2011-11-15,2.274,,2003,
2011-11-16,2.445,,1918,
2011-11-17,2.409,,2026,
2011-11-18,2.158,,1812,
2011-11-19,2.107,,1573,
2011-11-20,2.2,,2205,
2011-11-21,2.246,,1609,
2011-11-22,2.308,,2050,
2011-11-23,2.33,,1921,
2011-11-24,2.379,,1877,
2011-11-25,2.472,,2276,
2011-11-26,2.468,,1993,
2011-11-27,2.475,,1982,
2011-11-28,2.515,,2228,
2011-11-29,2.65,,2358,
2011-11-30,2.859,,2974,
2011-12-01,3.028,,2881,
2011-12-02,3.086,,2389,
2011-12-03,2.957,,2920,
2011-12-04,2.811,,2427,
2011-12-05,2.854,,2718,
2011-12-06,2.955,,2872,
2011-12-07,3.009,,2471,
2011-12-08,2.985,,3074,
2011-12-09,2.975,,2663,
2011-12-10,3.01,,2519,
2011-12-11,3.156,,3204,
2011-12-12,3.193,,2634,
2011-12-13,3.212,,2901,
2011-12-14,3.189,,2936,
2011-12-15,3.17,,2346,
2011-12-16,3.198,,2728,
2011-12-17,3.2,,3148,
2011-12-18,3.187,,2653,
2011-12-19,3.357,,3145,
2011-12-20,3.735,,3000,
2011-12-21,3.905,,3443,
2011-12-22,3.883,,3537,
2011-12-23,3.918,,3208,
2011-12-24,3.943,,3562,
2011-12-25,4.083,,3954,
2011-12-26,4.122,,3491,
2011-12-27,4.046,,3057,
2011-12-28,4.128,,3736,
2011-12-29,4.183,,3303,
2011-12-30,4.207,,4089,
2011-12-31,4.485,,3796,
2012-01-01,4.984,,4419,
2012-01-02,5.239,,4562,
2012-01-03,5.048,,4333,
2012-01-04,5.227,,4244,
2012-01-05,6.261,,5674,
2012-01-06,6.822,,6035,
2012-01-07,6.753,,6068,
2012-01-08,6.95,,5724,
2012-01-09,6.705,,5417,
2012-01-10,6.344,,4734,
2012-01-11,6.675,,5562,
2012-01-12,6.85,,5177,
2012-01-13,6.595,,5463,
2012-01-14,6.585,,5327,
2012-01-15,6.876,,5087,
2012-01-16,6.842,,6328,
2012-01-17,6.134,,4669,
2012-01-18,5.735,,4024,
2012-01-19,6.14,,5512,
2012-01-20,6.421,,5362,
2012-01-21,6.339,,5048,
2012-01-22,6.247,,4391,
2012-01-23,6.333,,5225,
2012-01-24,6.323,,4698,
2012-01-25,6.02,,4517,
2012-01-26,5.57,,4409,
2012-01-27,5.316,,4084,
2012-01-28,5.459,,4123,
2012-01-29,5.503,,4648,
2012-01-30,5.435,,4241,
2012-01-31,5.487,,3837,
2012-02-01,5.805,,4367,
2012-02-02,6.081,,5050,
2012-02-03,6.03,,4318,
2012-02-04,5.917,,4529,
2012-02-05,5.781,,4029,
2012-02-06,5.556,,4031,
2012-02-07,5.586,,3929,
2012-02-08,5.645,,4299,
2012-02-09,5.715,,4311,
2012-02-10,5.871,,3962,
2012-02-11,5.754,,4507,
2012-02-12,5.572,,4063,
2012-02-13,5.387,,3517,
2012-02-14,4.861,,3722,
2012-02-15,4.394,,3211,
2012-02-16,4.29,,3059,
2012-02-17,4.326,,3436,
2012-02-18,4.302,,3282,
2012-02-19,4.304,,2924,
2012-02-20,4.361,,2912,
2012-02-21,4.325,,3173,
2012-02-22,4.349,,3379,
2012-02-23,4.735,,3512,
2012-02-24,5.022,,3728,
2012-02-25,4.901,,3533,
2012-02-26,4.848,,3325,
2012-02-27,4.939,,3627,
2012-02-28,4.909,,3722,
2012-02-29,4.864,,3597,
2012-03-01,4.891,,3395,
2012-03-02,4.813,,3068,
2012-03-03,4.671,,3086,
2012-03-04,4.717,,3393,
2012-03-05,4.902,,3468,
2012-03-06,4.989,,3142,
2012-03-07,4.964,,3562,
2012-03-08,4.934,,3264,
2012-03-09,4.896,,3475,
2012-03-10,4.847,,3064,
2012-03-11,4.872,,3157,
2012-03-12,4.899,,3471,
2012-03-13,5.08,,3405,
2012-03-14,5.331,,3295,
2012-03-15,5.36,,3470,
2012-03-16,5.346,,3949,
2012-03-17,5.28,,3698,
2012-03-18,5.248,,3406,
2012-03-19,4.975,,3048,
2012-03-20,4.755,,3397,
2012-03-21,4.826,,3136,
2012-03-22,4.749,,3186,
2012-03-23,4.711,,2964,
2012-03-24,4.681,,3620,
2012-03-25,4.613,,2776,
2012-03-26,4.585,,3018,
2012-03-27,4.718,,3252,
2012-03-28,4.806,,3140,
2012-03-29,4.785,,2902,
2012-03-30,4.834,,3142,
2012-03-31,4.878,,3150,
2012-04-01,4.85,,2840,
2012-04-02,4.878,,2605,
2012-04-03,4.963,,3212,
2012-04-04,4.93,,2993,
2012-04-05,4.922,,2912,
2012-04-06,4.934,,3357,
2012-04-07,4.819,,2884,
2012-04-08,4.74,,3169,
2012-04-09,4.831,,2854,
2012-04-10,4.854,,3091,
2012-04-11,4.882,,2854,
2012-04-12,4.924,,2791,
2012-04-13,4.916,,3035,
2012-04-14,4.95,,3394,
2012-04-15,4.964,,2779,
2012-04-16,4.951,,3653,
2012-04-17,4.968,,3063,
2012-04-18,5.047,,3236,
2012-04-19,5.128,,3530,
2012-04-20,5.244,,3190,
2012-04-21,5.329,,3507,
2012-04-22,5.232,,3146,
2012-04-23,5.082,,2932,
2012-04-24,5.029,,3389,
2012-04-25,5.116,,3069,
2012-04-26,5.115,,3585,
2012-04-27,5.104,,3331,
2012-04-28,5.04,,3376,
2012-04-29,4.942,,3619,
2012-04-30,4.931,,3412,
2012-05-01,4.975,,3193,
2012-05-02,5.037,,3107,
2012-05-03,5.104,,3433,
2012-05-04,5.088,,3364,
2012-05-05,5.072,,3580,
2012-05-06,5.064,,3281,
2012-05-07,5.055,,3406,
2012-05-08,5.069,,3255,
2012-05-09,5.047,,3099,
2012-05-10,4.955,,2448,
2012-05-11,4.905,,3361,
2012-05-12,4.948,,2564,
2012-05-13,4.94,,2992,
2012-05-14,4.978,,2906,
2012-05-15,5.029,,2776,
2012-05-16,5.063,,3036,
2012-05-17,5.094,,2832,
2012-05-18,5.109,,3170,
2012-05-19,5.112,,3094,
2012-05-20,5.104,,2889,
2012-05-21,5.1,,2706,
2012-05-22,5.099,,2865,
2012-05-23,5.119,,3177,
2012-05-24,5.129,,2940,
2012-05-25,5.132,,3256,
2012-05-26,5.109,,3454,
2012-05-27,5.121,,3305,
2012-05-28,5.133,,3157,
2012-05-29,5.145,,3058,
2012-05-30,5.142,,3375,
2012-05-31,5.158,,3118,
2012-06-01,5.237,,3653,
2012-06-02,5.262,,3370,
2012-06-03,5.227,,3142,
2012-06-04,5.243,,3353,
2012-06-05,5.353,,3535,
2012-06-06,5.45,,3317,
2012-06-07,5.529,,3495,
2012-06-08,5.612,,3506,
2012-06-09,5.596,,3781,
2012-06-10,5.514,,3544,
2012-06-11,5.522,,2986,
2012-06-12,5.648,,4017,
2012-06-13,5.829,,3474,
2012-06-14,5.941,,4028,
2012-06-15,6.227,,3903,
2012-06-16,6.45,,4135,
2012-06-17,6.306,,4028,
2012-06-18,6.255,,4412,
2012-06-19,6.404,,3217,
2012-06-20,6.584,,4389,
2012-06-21,6.675,,3902,
2012-06-22,6.614,,4059,
2012-06-23,6.488,,3867,
2012-06-24,6.389,,3184,
2012-06-25,6.327,,3896,
2012-06-26,6.375,,3738,
2012-06-27,6.553,,3930,
2012-06-28,6.626,,3688,
2012-06-29,6.628,,3985,
2012-06-30,6.67,,3703,
2012-07-01,6.659,,3986,
2012-07-02,6.68,,3913,
2012-07-03,6.605,,4094,
2012-07-04,6.48,,3544,
2012-07-05,6.59,,3736,
2012-07-06,6.659,,3977,
2012-07-07,6.731,,3961,
2012-07-08,6.781,,3663,
2012-07-09,6.907,,3996,
2012-07-10,7.111,,4050,
2012-07-11,7.175,,3815,
2012-07-12,7.467,,4582,
2012-07-13,7.676,,4604,
2012-07-14,7.571,,4340,
2012-07-15,7.582,,3961,
2012-07-16,8.091,,4777,
2012-07-17,8.65,,5107,
2012-07-18,8.955,,4707,
2012-07-19,8.99,,4362,
2012-07-20,8.695,,4977,
2012-07-21,8.702,,4597,
2012-07-22,8.634,,4909,
2012-07-23,8.439,,4343,
2012-07-24,8.523,,4798,
2012-07-25,8.675,,4702,
2012-07-26,8.85,,4722,
2012-07-27,8.9,,5170,
2012-07-28,8.894,,4198,
2012-07-29,8.799,,5371,
2012-07-30,8.904,,4363,
2012-07-31,9.214,,4058,
2012-08-01,9.45,,4695,
2012-08-02,10.042,,5413,
2012-08-03,10.797,,5146,
2012-08-04,10.982,,5401,
2012-08-05,10.927,,5016,
2012-08-06,10.863,,5293,
2012-08-07,11.005,,6004,
2012-08-08,11.078,,5662,
2012-08-09,11.08,,5569,
2012-08-10,11.293,,5333,
2012-08-11,11.505,,5764,
2012-08-12,11.567,,5343,
2012-08-13,11.831,,5570,
2012-08-14,12.114,,5411,
2012-08-15,12.72,,5972,
2012-08-16,13.375,,5861,
2012-08-17,12.512,,5471,
2012-08-18,11.71,,5679,
2012-08-19,9.79,,5223,
2012-08-20,9.05,,3855,
2012-08-21,9.988,,4317,
2012-08-22,9.861,,4672,
2012-08-23,9.91,,4580,
2012-08-24,10.35,,4295,
2012-08-25,10.562,,4401,
2012-08-26,10.605,,4783,
2012-08-27,10.77,,4073,
2012-08-28,10.95,,4650,
2012-08-29,10.923,,4646,
2012-08-30,10.782,,4261,
2012-08-31,10.468,,4168,
2012-09-01,10.058,,4234,
2012-09-02,10.102,,4451,
2012-09-03,10.37,,3955,
2012-09-04,10.457,,4713,
2012-09-05,10.692,,4495,
2012-09-06,11.091,,4258,
2012-09-07,11.098,,4102,
2012-09-08,11.067,,3870,
2012-09-09,11.035,,4479,
2012-09-10,11.095,,4076,
2012-09-11,11.241,,3890,
2012-09-12,11.348,,4631,
2012-09-13,11.314,,3823,
2012-09-14,11.57,,4458,
2012-09-15,11.75,,4365,
2012-09-16,11.81,,4671,
2012-09-17,11.88,,4489,
2012-09-18,12.091,,4347,
2012-09-19,12.402,,4195,
2012-09-20,12.436,,4681,
2012-09-21,12.384,,4577,
2012-09-22,12.256,,3918,
2012-09-23,12.216,,4486,
2012-09-24,12.126,,4261,
2012-09-25,12.149,,3815,
2012-09-26,12.233,,4409,
